	Mode	Frequency [Hz]	
1	1.	504.76	
2	2.	511.87	
3	3.	515.02	
4	4.	516.22	
5	5.	525.64	
6	6.	530.9	
7	7.	531.21	
8	8.	535.69	
9	9.	537.87	
10	10.	539.41	
11	11.	545.79	
12	12.	549.18	
13	13.	557.36	
14	14.	573.38	
15	15.	576.79	
16	16.	582.53	
17	17.	587.2	
18	18.	587.62	
19	19.	589.76	
20	20.	592.86	
21	21.	594.46	
22	22.	595.56	
23	23.	596.87	
24	24.	597.23	
25	25.	601.86	
26	26.	605.66	
27	27.	607.19	
28	28.	611.72	
29	29.	613.31	
30	30.	615.61	
31	31.	616.64	
32	32.	617.2	
33	33.	617.56	
34	34.	618.89	
35	35.	621.25	
36	36.	623.29	
37	37.	625.2	
38	38.	625.98	
39	39.	629.78	
40	40.	632.03	
41	41.	632.47	
42	42.	637.85	
43	43.	641.45	
44	44.	643.34	
45	45.	643.97	
46	46.	647.76	
47	47.	649.3	
48	48.	650.6	
49	49.	651.8	
50	50.	654.05	
51	51.	655.35	
52	52.	656.09	
53	53.	657.19	
54	54.	658.74	
55	55.	661.31	
56	56.	661.73	
57	57.	663.14	
58	58.	663.49	
59	59.	664.89	
60	60.	665.36	
61	61.	666.91	
62	62.	667.35	
63	63.	667.45	
64	64.	668.51	
65	65.	669.69	
66	66.	672.43	
67	67.	674.01	
68	68.	674.64	
69	69.	676.56	
70	70.	676.67	
71	71.	677.96	
72	72.	678.15	
73	73.	678.56	
74	74.	679.49	
75	75.	680.94	
76	76.	687.43	
77	77.	688.84	
78	78.	690.33	
79	79.	692.36	
80	80.	692.92	
81	81.	694.14	
82	82.	694.86	
83	83.	695.41	
84	84.	697.8	
85	85.	698.95	
86	86.	700.5	
87	87.	703.06	
88	88.	703.78	
89	89.	705.2	
90	90.	706.92	
91	91.	708.12	
92	92.	710.47	
93	93.	713.27	
94	94.	715.48	
95	95.	717.41	
96	96.	721.04	
97	97.	723.27	
98	98.	727.17	
99	99.	727.58	
100	100.	729.45	
101	101.	730.65	
102	102.	736.96	
103	103.	742.75	
104	104.	746.63	
105	105.	748.34	
106	106.	755.52	
107	107.	756.22	
108	108.	763.19	
109	109.	763.5	
110	110.	764.79	
111	111.	766.32	
112	112.	767.9	
113	113.	770.09	
114	114.	772.4	
115	115.	773.69	
116	116.	776.2	
117	117.	777.46	
118	118.	778.9	
119	119.	780.17	
120	120.	783.48	
121	121.	786.52	
122	122.	788.88	
123	123.	789.36	
124	124.	792.24	
125	125.	794.	
126	126.	794.76	
127	127.	797.79	
128	128.	798.87	
129	129.	800.74	
130	130.	802.27	
131	131.	803.78	
132	132.	809.14	
133	133.	809.31	
134	134.	813.65	
135	135.	819.23	
136	136.	820.66	
137	137.	822.79	
138	138.	827.62	
139	139.	828.15	
140	140.	829.21	
141	141.	833.36	
142	142.	834.92	
143	143.	839.29	
144	144.	841.99	
145	145.	843.17	
146	146.	844.68	
147	147.	850.53	
148	148.	851.67	
149	149.	856.91	
150	150.	858.1	
151	151.	860.78	
152	152.	861.44	
153	153.	863.5	
154	154.	865.78	
155	155.	867.05	
156	156.	869.46	
157	157.	873.76	
158	158.	875.52	
159	159.	876.19	
160	160.	877.55	
161	161.	879.03	
162	162.	882.56	
163	163.	885.79	
164	164.	888.02	
165	165.	890.41	
166	166.	894.28	
167	167.	896.01	
168	168.	898.2	
169	169.	901.01	
170	170.	903.09	
171	171.	905.04	
172	172.	905.99	
173	173.	910.79	
174	174.	912.23	
175	175.	913.53	
176	176.	916.21	
177	177.	917.77	
178	178.	919.56	
179	179.	921.11	
180	180.	922.65	
181	181.	923.32	
182	182.	924.35	
183	183.	927.6	
184	184.	929.53	
185	185.	932.79	
186	186.	935.11	
187	187.	937.92	
188	188.	938.75	
189	189.	939.03	
190	190.	941.82	
191	191.	945.51	
192	192.	946.79	
193	193.	950.78	
194	194.	952.85	
195	195.	955.13	
196	196.	956.9	
197	197.	957.25	
198	198.	961.92	
199	199.	963.33	
200	200.	963.77	
201	201.	965.55	
202	202.	968.26	
203	203.	969.81	
204	204.	971.02	
205	205.	971.95	
206	206.	973.46	
207	207.	978.37	
208	208.	979.51	
209	209.	980.73	
210	210.	981.04	
211	211.	984.69	
212	212.	985.39	
213	213.	987.65	
214	214.	990.04	
215	215.	990.42	
216	216.	993.38	
217	217.	995.	
218	218.	998.1	
219	219.	999.59	
